TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment
item_templates,1,INVALID ITEM,,ไอเทม,,
,5,Leystone Fragment,,ไอเทม,,
,6,Clan Banner,,ไอเทม,,
,7,Celtic Bullhorn,,ไอเทม,,
,8,Sigil of Health,,ไอเทม,,
,9,Sigil of Energy,,ไอเทม,,
,10,Book of Alteration,,ไอเทม,,
,11,Elixir of Health,,ไอเทม,,
,12,Elixir of Energy,,ไอเทม,,
,13,Backpack Expansion,,ไอเทม,,
,14,Bag of Gold,,ไอเทม,,
,15,Book of Rebirth,,ไอเทม,,
,16,Extra Character Slot,,ไอเทม,,
,17,Health Potion,,ไอเทม,,
,18,Energy Potion,,ไอเทม,,
,19,Extra Hotbar Slot,,ไอเทม,,
,20,Ancient Resurrection Idol,,ไอเทม,,
,21,Scroll of Fire Bolt,,ไอเทม,,
,22,Shrink Potion,,ไอเทม,,
,23,Super Shrink Potion,,ไอเทม,,
,24,Growth Potion,,ไอเทม,,
,25,Super Growth Potion,,ไอเทม,,
,26,Invisibility Potion,,ไอเทม,,
,27,Defence Potion,,ไอเทม,,
,28,Armour Potion,,ไอเทม,,
,29,Maximum Health Potion,,ไอเทม,,
,30,Maximum Energy Potion,,ไอเทม,,
,31,OVERWRITE,,ไอเทม,,
,32,OVERWRITE,,ไอเทม,,
,33,OVERWRITE,,ไอเทม,,
,34,OVERWRITE,,ไอเทม,,
,35,Scroll of Ice Shards,,ไอเทม,,
,36,Scroll of Camouflage,,ไอเทม,,
,37,Scroll of Taunt,,ไอเทม,,
,38,Silver Quiver of Plenty,,ไอเทม,,
,39,Golden Quiver of Bounty,,ไอเทม,,
,40,Super Defence Potion,,ไอเทม,,
,41,Super Armour Potion,,ไอเทม,,
,42,Super Maximum Health Potion,,ไอเทม,,
,43,Super Maximum Energy Potion,,ไอเทม,,
,44,Attack Potion,,ไอเทม,,
,45,Super Attack Potion,,ไอเทม,,
,46,Haste Potion,,ไอเทม,,
,47,Super Haste Potion,,ไอเทม,,
,48,Travelling Potion,,ไอเทม,,
,49,Super Travelling Potion,,ไอเทม,,
,50,Knowledge Potion,,ไอเทม,,
,51,Ultra Knowledge Potion,,ไอเทม,,
,52,Regeneration Potion,,ไอเทม,,
,53,Super Regeneration Potion,,ไอเทม,,
,54,Energiser Potion,,ไอเทม,,
,55,Super Energiser Potion,,ไอเทม,,
,56,Combination Potion,,ไอเทม,,
,57,Super Combination Potion,,ไอเทม,,
,58,Elixir of Shrinking,,ไอเทม,,
,59,Super Elixir of Shrinking,,ไอเทม,,
,60,Elixir of Growth,,ไอเทม,,
,61,Super Elixir of Growth,,ไอเทม,,
,62,Elixir of Defence,,ไอเทม,,
,63,Super Elixir of Defence,,ไอเทม,,
,64,Elixir of Maximum Health,,ไอเทม,,
,65,Super Elixir of Maximum Health,,ไอเทม,,
,66,Elixir of Maximum Energy,,ไอเทม,,
,67,Super Elixir of Maximum Energy,,ไอเทม,,
,68,Elixir of Attack,,ไอเทม,,
,69,Super Elixir of Attack,,ไอเทม,,
,70,Elixir of Haste,,ไอเทม,,
,71,Super Elixir of Haste,,ไอเทม,,
,72,Elixir of Travelling,,ไอเทม,,
,73,Super Elixir of Travelling,,ไอเทม,,
,74,Elixir of Knowledge,,ไอเทม,,
,75,UNUSED Ultra Elixir of Knowledge,,ไอเทม,,
,76,Combination Elixir,,ไอเทม,,
,77,Super Combination Elixir,,ไอเทม,,
,78,Scroll of Rooting,,ไอเทม,,
,79,Elixir of Armour,,ไอเทม,,
,80,Super Elixir of Armour,,ไอเทม,,
,81,Elixir of Regeneration,,ไอเทม,,
,82,Super Elixir of Regeneration,,ไอเทม,,
,83,Elixir of Energisation,,ไอเทม,,
,84,Super Elixir of Energisation,,ไอเทม,,
,85,Quiver of Farsight,,ไอเทม,,
,86,Large Quiver,,ไอเทม,,
,87,Scroll of Fire Shield,,ไอเทม,,
,88,Elixir of Wisdom,,ไอเทม,,
,89,Super Elixir of Wisdom,,ไอเทม,,
,90,Super Knowledge Potion,,ไอเทม,,
,91,Super Elixir of Knowledge,,ไอเทม,,
,92,Bank Expansion,,ไอเทม,,
,100,Silver Quiver of Regeneration,,ไอเทม,,
,101,Silver Quiver of Energisation,,ไอเทม,,
,102,Golden Quiver of Regeneration,,ไอเทม,,
,105,Golden Quiver of Energisation,,ไอเทม,,
,106,Silver Quiver of Rejuvenation,,ไอเทม,,
,107,Golden Quiver of Rejuvenation,,ไอเทม,,
,108,Silver Spirit Quiver,,ไอเทม,,
,109,Silver Health Quiver,,ไอเทม,,
,110,Silver Energy Quiver,,ไอเทม,,
,111,Golden Energy Quiver,,ไอเทม,,
,112,Golden Health Quiver,,ไอเทม,,
,113,Golden Spirit Quiver,,ไอเทม,,
,114,Book of Alteration,,ไอเทม,,
,115,Book of Rebirth,,ไอเทม,,
,116,Potion of Piranus,,ไอเทม,,
,117,Drummond's Shrink Potion,,ไอเทม,,
,118,Drummond's Growth Potion,,ไอเทม,,
,119,Drummond's Invisibility Potion,,ไอเทม,,
,120,Drummond's Defence Potion,,ไอเทม,,
,121,Drummond's Armour Potion,,ไอเทม,,
,122,DO NOT USE,,ไอเทม,,
,123,DO NOT USE,,ไอเทม,,
,124,Drummond's Attack Potion,,ไอเทม,,
,125,Drummond's Haste Potion,,ไอเทม,,
,126,Drummond's Travelling Potion,,ไอเทม,,
,127,Drummond's Knowledge Potion,,ไอเทม,,
,128,DO NOT USE,,ไอเทม,,
,129,Drummond's Regeneration Potion,,ไอเทม,,
,130,Drummond's Energiser Potion,,ไอเทม,,
,131,Drummond's Health Potion,,ไอเทม,,
,132,Drummond's Energy Potion,,ไอเทม,,
,133,Drummond's Minor Energy Potion,,ไอเทม,,
,134,Drummond's Minor Health Potion,,ไอเทม,,
,135,Regeneration Potion,,ไอเทม,,
,136,Energiser Potion,,ไอเทม,,
,137,Maximum Health Potion,,ไอเทม,,
,138,Maximum Energy Potion,,ไอเทม,,
,139,Attack Potion,,ไอเทม,,
,140,Defence Potion,,ไอเทม,,
,141,Armour Potion,,ไอเทม,,
,142,Haste Potion,,ไอเทม,,
,143,Travelling Potion,,ไอเทม,,
,144,Knowledge Potion,,ไอเทม,,
,145,Shrink Potion,,ไอเทม,,
,146,Growth Potion,,ไอเทม,,
,147,Invisibility Potion,,ไอเทม,,
,148,Combination Potion,,ไอเทม,,
,149,Super Regeneration Potion,,ไอเทม,,
,150,Super Energiser Potion,,ไอเทม,,
,151,Super Maximum Health Potion,,ไอเทม,,
,152,Super Maximum Energy Potion,,ไอเทม,,
,153,Super Attack Potion,,ไอเทม,,
,154,Super Defence Potion,,ไอเทม,,
,155,Super Armour Potion,,ไอเทม,,
,156,Super Haste Potion,,ไอเทม,,
,157,Super Travelling Potion,,ไอเทม,,
,158,Super Knowledge Potion,,ไอเทม,,
,159,Super Shrink Potion,,ไอเทม,,
,160,Super Growth Potion,,ไอเทม,,
,161,Super Combination Potion,,ไอเทม,,
,162,Restoration Potion,,ไอเทม,,
,163,Minor Health Potion,,ไอเทม,,
,164,Minor Energy Potion,,ไอเทม,,
,165,Health Potion,,ไอเทม,,
,166,Energy Potion,,ไอเทม,,
,167,Elixir of Health,,ไอเทม,,
,168,Elixir of Energy,,ไอเทม,,
,169,Elixir of Shrinking,,ไอเทม,,
,170,Super Elixir of Shrinking,,ไอเทม,,
,171,Elixir of Growth,,ไอเทม,,
,172,Super Elixir of Growth,,ไอเทม,,
,173,Elixir of Defence,,ไอเทม,,
,174,Super Elixir of Defence,,ไอเทม,,
,175,Elixir of Maximum Health,,ไอเทม,,
,176,Super Elixir of Maximum Health,,ไอเทม,,
,177,Elixir of Maximum Energy,,ไอเทม,,
,178,Super Elixir of Maximum Energy,,ไอเทม,,
,179,Elixir of Attack,,ไอเทม,,
,180,Super Elixir of Attack,,ไอเทม,,
,181,Elixir of Haste,,ไอเทม,,
,182,Super Elixir of Haste,,ไอเทม,,
,183,Elixir of Travelling,,ไอเทม,,
,184,Super Elixir of Travelling,,ไอเทม,,
,185,Elixir of Knowledge,,ไอเทม,,
,186,UNUSED Ultra Elixir of Knowledge,,ไอเทม,,
,187,Combination Elixir,,ไอเทม,,
,188,Super Combination Elixir,,ไอเทม,,
,189,Elixir of Armour,,ไอเทม,,
,190,Super Elixir of Armour,,ไอเทม,,
,191,Elixir of Regeneration,,ไอเทม,,
,192,Super Elixir of Regeneration,,ไอเทม,,
,193,Elixir of Energisation,,ไอเทม,,
,194,Super Elixir of Energisation,,ไอเทม,,
,195,Elixir of Wisdom,,ไอเทม,,
,196,Super Elixir of Wisdom,,ไอเทม,,
,197,Super Elixir of Knowledge,,ไอเทม,,
,201,Heroic Elixir of Wisdom,,ไอเทม,,
,202,Heroic Elixir of Knowledge,,ไอเทม,,
,203,Heroic Elixir of Energisation,,ไอเทม,,
,204,Heroic Elixir of Regeneration,,ไอเทม,,
,205,Heroic Travelling Elixir,,ไอเทม,,
,211,Heroic Elixir of Haste,,ไอเทม,,
,212,Heroic Elixir of Defence,,ไอเทม,,
,213,Heroic Elixir of Attack,,ไอเทม,,
