TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment
mob_templates,1,Alwyn the Druid,,,,
,2,Simon the Druid,,,,
,3,Stratton the Druid,,,,
,4,Farmer McCraig,,,,
,7,Farmer McCraig,,,,
,8,Private Dougal,,,,
,9,Private Duncan,,,,
,10,Captain Ross OLD,,,,
,11,Lord MacLir,,,,
,12,Ranger McKay,,,,
,13,Broon the Mage,,,,
,14,[Scholar Trainer] Aldo the Astute,,,,
,15,Faolan MacLir,,,,
,16,[Blunt Trainer] Harry Hammers,,,,
,17,[Axe Trainer] Ragnar the Axemaster,,,,
,18,Leland the Druid,,,,
,19,Emilia the Mage,,,,
,20,Sergeant Grumpshot,,,,
,21,Hugh the Novice,,,,
,22,Crazy Jock,,,,
,23,Alan MacDougall,,,,
,24,[Item Trader] Fergus the Blacksmith,,,,
,25,Katherine Dunmore,,,,
,26,Gregor the Innkeeper,,,,
,27,Finnigan the Ranger,,,,
,28,Molly the Rogue,,,,
,29,Court Physician Emrys,,,,
,30,[Skill Merchant] Glamora the Warrior,,,,
,31,[Critical Strike Trainer] Sandow the Strong,,,,
,32,Altus the Warrior,,,,
,33,Megan the Ranger,,,,
,34,Godfrey the Warrior,,,,
,35,Bronwen the Druid,,,,
,36,Icemage Emilia,,,,
,37,Orlak the Mage,,,,
,38,[Skill Merchant] Knavelaw the Rogue,,,,
,39,Eustace the Scout,,,,
,40,Boris Shadowhand,,,,
,41,Gildan the Healer,,,,
,42,[Skill Merchant]  Louarn the Ranger,,,,
,43,Cori the Rogue,,,,
,44,[Spell Book Merchant] Aspen the Druid,,,,
,45,Farmer Moffatt,,,,
,46,Nemain,,,,
,47,Dolan,,,,
,48,Galway the Sage,,,,
,49,Fiona,,,,
,50,Corporal Gudgeon,,,,
,51,[Armour Trader] Nevin the Armourer,,,,
,52,[Item Trader] Roarke the Blacksmith,,,,
,53,[Armour Trader] Vevila the Armourer,,,,
,54,[Item Trader] Jaryn the Smuggler,,,,
,55,Darra the Innkeeper,,,,
,56,Gwen the Gossip,,,,
,57,Brady the Guard,,,,
,58,Jill the Herder,,,,
,59,Rafferty the Romantic,,,,
,60,Murray the Miner,,,,
,61,Una the Furrier,,,,
,62,Declan the Druid,,,,
,63,Hogan the Barkeep,,,,
,64,Cayden the Ranger,,,,
,65,Severina the Alchemist,,,,
,66,Torbin the Sailor,,,,
,67,Grania the Rogue,,,,
,68,Blind Old Erskine,,,,
,69,[Item Trader] Brodie the Opportunist,,,,
,70,[Luxury Item Trader] Quigley the Merchant,,,,
,71,Knox the Mage,,,,
,72,Guthrie the Herbalist,,,,
,73,Rowena the Druid,,,,
,74,Caryn the Cook,,,,
,75,Blair the Archer,,,,
,76,Abernethy the Archer,,,,
,77,[Item Trader] Angus MacLir,,,,
,78,Dervla Mathanach OLD,,,,
,79,High Druid Canonach,,,,
,80,MacCroin Swordmaster,,,,
,81,Sergeant Angus,,,,
,82,Corporal Catriona,,,,
,83,Brogan the Quartermaster,,,,
,84,Doctor Cormac,,,,
