TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment
premium_shop_stock - item_shop_name,5,Minor Health Potion Set,,,,
,6,Health Potion Set,,,,
,8,Minor Energy Potion Set,,,,
,9,Energy Potion Set,,,,
,10,Leystone Fragment Bag,,,,
,11,100 Gold,,,,
,12,Backpack Expansion,,,,
,13,Sigil of Health,,,,
,14,Sigil of Energy,,,,
,15,Extra Character Slot,,,,
,16,Book of Alteration,,,,
,17,Book of Rebirth,,,,
,20,"1,000 Gold",,,,
,21,"10,000 Gold",,,,
,22,"100,000 Gold",,,,
,26,Clan Banner,,,,
,27,Resurrection Idol,,,,
,28,Extra Hotbar Slot,,,,
,29,Shrink Potion,,,,
,30,Super Shrink Potion,,,,
,31,Growth Potion,,,,
,32,Super Growth Potion,,,,
,33,Invisibility Potion,,,,
,34,Defence Potion,,,,
,35,Super Defence Potion,,,,
,36,Armour Potion,,,,
,37,Super Armour Potion,,,,
,38,Max Health Potion,,,,
,39,Super Max Health Potion,,,,
,40,Max Energy Potion,,,,
,41,Super Max Energy Potion,,,,
,42,Attack Potion,,,,
,43,Super Attack Potion,,,,
,44,Haste Potion,,,,
,45,Super Haste Potion,,,,
,46,Travelling Potion,,,,
,47,Super Travelling Potion,,,,
,48,Knowledge Potion,,,,
,49,Super Knowledge Potion,,,,
,50,Regeneration Potion,,,,
,51,Super Regeneration Potion,,,,
,52,Energiser Potion,,,,
,53,Super Energiser Potion,,,,
,54,Combination Potion,,,,
,55,Super Combination Potion,,,,
,56,Shrink Elixir,,,,
,57,Super Shrink Elixir,,,,
,58,Growth Elixir,,,,
,59,Super Growth Elixir,,,,
,60,Defence Elixir,,,,
,61,Super Defence Elixir,,,,
,62,Armour Elixir,,,,
,63,Super Armour Elixir,,,,
,64,Max Health Elixir,,,,
,65,Super Max Health Elixir,,,,
,66,Max Energy Elixir,,,,
,67,Super Max Energy Elixir,,,,
,68,Attack Elixir,,,,
,69,Super Attack Elixir,,,,
,70,Haste Elixir,,,,
,71,Super Haste Elixir,,,,
,72,Travelling Elixir,,,,
,73,Super Travelling Elixir,,,,
,74,Knowledge Elixir,,,,
,75,Super Knowledge Elixir,,,,
,76,Combination Elixir,,,,
,77,Super Combination Elixir,,,,
,78,Regeneration Elixir,,,,
,79,Super Regeneration Elixir,,,,
,80,Energiser Elixir,,,,
,81,Super Energiser Elixir,,,,
,82,Fire Bolt Scroll,,,,
,83,Rooting Scroll,,,,
,84,Restoration Potion,,,,
,85,Fire Shield Scroll,,,,
,86,"500,000 Gold!",,,,
,87,Wisdom Elixir,,,,
,88,Super Wisdom Elixir,,,,
,90,Knowledge Potion Set,,,,
,91,Super Knowledge Potion Set,,,,
,92,Combination Potion Set,,,,
,93,Super Combination Potion Set,,,,
,95,Restoration Potion Set,,,,
,96,Super Knowledge Elixir Set,,,,
,97,Super Wisdom Elixir Set,,,,
,98,Knowledge Elixir Set,,,,
,99,Combination Elixir Set,,,,
,100,Super Combination Elixir Set,,,,
,101,Backpack Expansion Set,,,,
,102,Resurrection Idol Set,,,,
,103,Sigil of Energy Set,,,,
,104,Sigil of Health Set,,,,
,105,Bank Expansion,,,,
,106,Bank Expansion Set,,,,
,107,Celtic Mystery Chest,,,,
,108,Ancient Mystery Chest,,,,
,110,Ancient Mystery Chest Set,,,,
,111,Sunburst Mystery Chest,,,,
,112,Sunburst Mystery Chest Set,,,,
,113,Icebound Mystery Chest,,,,
,114,Icebound Mystery Chest Set,,,,
,115,Legendary Relics Chest,,,,
,116,Legendary Relic Chest Bundle,,,,
,117,Suncrest Mystery Chest,,,,
,118,Suncrest Mystery Chest Bundle,,,,
,119,Phoenix Mystery Chest,,,,
,120,Phoenix Mystery Chest Bundle,,,,
,121,Arachnid Mystery Chest,,,,
,122,Arachnid Mystery Chest Bundle,,,,
,123,Frostbound Mystery Chest,,,,
,124,Frostbound Mystery Chest Bundle,,,,
,125,Springleaf Mystery Chest,,,,
,126,Springleaf Mystery Chest Bundle,,,,
,127,Bounty Pledge,,,,
,128,Bounty Pledges Bundle,,,,
,129,Lustrous Mystery Chest,,,,
,130,Lustrous Mystery Chest Bundle,,,,
,131,Nightrider Mystery Chest,,,,
,132,Nightrider Mystery Chest Bundle,,,,
,133,Nightrider Mystery Chest Deluxe Bundle,,,,
,134,Frostbreath Mystery Chest,,,,
,135,Frostbreath Mystery Chest Bundle,,,,
,136,Frostbreath Mystery Chest Deluxe Bundle,,,,
,137,Heroic Combination Elixir Set,,,,
,138,Heroic Elixir of Knowledge Set,,,,
,139,Evergreen Mystery Chest,,,,
,140,Evergreen Mystery Chest Bundle,,,,
,141,Hogshead Mystery Chest,,,,
,142,Hogshead Mystery Chest Bundle,,,,
,143,Solstice Mystery Chest,,,,
,144,Solstice Mystery Chest Bundle,,,,
,145,Elixir of Fishing Insight,,,,
,146,Super Elixir of Fishing Insight,,,,
,147,Heroic Elixir of Fishing Insight,,,,
,148,Potion of Concentration Set,,,,
,149,Super Potion of Concentration,,,,
,150,Elixir of Fishing Insight Set,,,,
,151,Super Elixir of Fishing Insight Set,,,,
,152,Heroic Elixir of Fishing Insight Set,,,,
,153,Super Potion of Concentration Set,,,,
,154,Mount Whistle,,,,
,155,Mount Whistle Set,,,,
,156,Rimebound Mystery Chest,,,,
,157,Rimebound Mystery Chest Bundle,,,,
,158,10 Rimebound Special Bundle,,,,
,159,100 Rimebound Special Bundle,,,,
,160,Auction House Slot,,,,
,161,Auction House Slot Set,,,,
,162,Barbershop Coupon,,,,
,163,Revival Mystery Chest,,,,
,164,Revival Mystery Chest Bundle,,,,
,165,Aeon Mystery Chest,,,,
,166,Aeon Mystery Chest Bundle,,,,
,167,Firebreath Mystery Chest,,,,
,168,Firebreath Mystery Chest Bundle,,,,
,169,Snowstorm Mystery Chest,,,,
,170,Snowstorm Mystery Chest Bundle,,,,
,171,Overgrowth Mystery Chest,,,,
,172,Overgrowth Mystery Chest Bundle,,,,
