TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment
special_offer_templates - offer_description,1,A health potion (Test Offer).,,,,
,2,An energy potion (Test Offer).,,,,
,3,Help to celebrate the launch of Celtic Heroes on Android with this Everlasting Green Firework!,,,,
,4,A free Super Knowledge Potion!,,,,
,5,A free Travelling Potion!,,,,
,6,A free Restoration Potion!,,,,
,7,Help to celebrate the launch of Celtic Heroes on Android with this Everlasting Green Firework!,,,,
,8,Help to celebrate the launch of Celtic Heroes on Android with this Everlasting Green Firework!,,,,
,9,Celebrate your Celtic spirit with this free Super Regeneration Potion!,,,,
,10,Celebrate your Celtic spirit with this free Super Maximum Health Potion!,,,,
,11,"Get this Sigil of Health Set at a 30% discount, this weekend only!",,,,
,12,"Get this Sigil of Energy Set at a 30% discount, this weekend only!",,,,
,13,Get this Backpack Expansion Set at a 30% discount for a limited time only!,,,,
,14,Get this Bank Expansion Set at a 25% discount for a limited time only!,,,,
,15,Get this Resurrection Idol Set at a 25% discount for a limited time only!,,,,
,16,A free Super Energiser Potion!,,,,
,17,Get this Super Combination Elixir Set at a 15% discount for a limited time only!,,,,
,18,Get this Book of Alteration at a 20% discount for a limited time only!,,,,
,19,Get this Book of Rebirth at a 25% discount for a limited time only!,,,,
,20,A free Super Elixir of Wisdom!,,,,
,21,Get this Super Elixir of Knowledge Set at a 15% discount for a limited time only!,,,,
,22,A free Super Elixir of Haste!,,,,
,23,A free Super Elixir of Energisation!,,,,
,24,Get this Super Elixir of Maximum Health Set at a 33% discount for a limited time only!,,,,
,25,Get this Super Elixir of Regeneration Set at a 33% discount for a limited time only!,,,,
,26,Help to celebrate the launch of the Destiny Engine on iOS with these Everlasting Magic Fireworks!,,,,
,27,A free present to celebrate Yule!,,,,
,28,A free gift to celebrate Yule!,,,,
,29,Get this Super Combination Elixir Set at a 20% discount for a limited time only!,,,,
,30,Get this Book of Alteration at a 20% discount for a limited time only!,,,,
,31,Get this Book of Rebirth at a 20% discount for a limited time only!,,,,
,32,Keep your head warm this winter with some traditional yuletide headgear!,,,,
,33,Keep your head warm this winter with some traditional yuletide headgear!,,,,
,34,Keep your head warm this winter with some traditional yuletide headgear!,,,,
,35,This special hat has been enchanted to wreathe its wearer with sparkling ice particles!,,,,
,36,This special hat has been enchanted to wreathe its wearer with sparkling ice particles!,,,,
,37,This special hat has been enchanted to wreathe its wearer with sparkling ice particles!,,,,
,38,DUMMY.,,,,
,39,DUMMY.,,,,
,40,DUMMY.,,,,
,41,DUMMY.,,,,
,42,DUMMY.,,,,
,43,DUMMY.,,,,
,44,DUMMY.,,,,
,45,DUMMY.,,,,
,46,DUMMY.,,,,
,47,DUMMY.,,,,
,48,DUMMY.,,,,
,49,DUMMY.,,,,
,50,A couple of Super Combination Potions to celebrate St Valentines Day!,,,,
,51,35% off the price of a Frostbound Mystery Chest Bundle.,,,,
,52,15% Off Super Knowledge Elixir Sets!,,,,
,53,20% Off Sigil of Health Sets,,,,
,54,20% Off Sigil of Energy Sets,,,,
,55,25% Off Super Wisdom Elixir Sets,,,,
,56,Free Ostara gift to Celebrate Spring!,,,,
,57,Free Ostara present to Celebrate Spring!,,,,
,58,Free Ostara present to Celebrate Spring!,,,,
,59,Free Ostara present to Celebrate Spring!,,,,
,60,Free Ostara present to Celebrate Spring!,,,,
,61,Free Ostara present to Celebrate Spring!,,,,
,62,Free Ostara present to Celebrate Spring!,,,,
,63,Free Ostara gift to Celebrate Spring!,,,,
,64,"Start your adventures with a great selection of useful items. Worth 72 platinum, your Standard Starter Pack contains a Backpack Expansion, 1 Sigil of Health and Energy, a Ressurrection Idol, a Restoration Potion and 1 Super Combination Elixir!",,,,
,65,"Enhance your hero with an awesome set of items. Worth 150 Platinum, your Deluxe Starter Kit contains 2 Backpack Expansions, 2 Sigils of Health and Energy, 5 Resurrection Idols, 5 Restoration Potions and 2 Super Combination Elixirs!",,,,
,66,Free Book of Rebirth to refresh your attributes.,,,,
,67,Free Book of Rebirth to refresh your attributes.,,,,
,68,30% off the price of a Springleaf Mystery Chest.,,,,
,69,35% off the price of a Springleaf Mystery Chest Bundle.,,,,
,70,30% off the price of a Springleaf Mystery Chest.,,,,
,71,35% off the price of a Springleaf Mystery Chest Bundle.,,,,
,72,30% off the price of a Springleaf Mystery Chest.,,,,
,73,35% off the price of a Springleaf Mystery Chest Bundle.,,,,
,74,30% off the price of a Springleaf Mystery Chest.,,,,
,75,35% off the price of a Springleaf Mystery Chest Bundle.,,,,
,76,"5 Free Health sigils, to celebrate Spring!",,,,
,77,"5 Free Health sigils, to celebrate Spring!",,,,
,78,5 Free Energy Sigils worth 50 Platinum! Sigils will bind to current character!,,,,
,79,3 Free Super Knowledge potions! Potions will go to the current character!,,,,
,80,5 Free Super Combination Elixirs! Elixirs will go to current character!,,,,
,81,50 Health Sigils! Sigils will apply directly to your character on purchase!,,,,
,82,50 Energy Sigils! Sigils will apply directly to your character on purchase!,,,,
,83,1 free Beltane Present in celebration of the season!,,,,
,84,1 free Beltane Present in celebration of the season!,,,,
,85,1 free Beltane Gift in celebration of the season!,,,,
,86,1 free Beltane Gift in celebration of the season!,,,,
,87,1 free Beltane Present in celebration of the season!,,,,
,88,Free Stuff! You like free stuff.,,,,
,89,30% off the price of a Lustrous Mystery Chest!,,,,
,90,35% off the price of a Lustrous Mystery Chest Bundle!,,,,
,91,30% off the price of a Lustrous Mystery Chest!,,,,
,92,35% off the price of a Lustrous Mystery Chest Bundle!,,,,
,93,30% off the price of a Lustrous Mystery Chest!,,,,
,94,35% off the price of a Lustrous Mystery Chest Bundle!,,,,
,95,30% off the price of a Lustrous Mystery Chest!,,,,
,96,35% off the price of a Lustrous Mystery Chest Bundle!,,,,
,97,35% off the price of a Nightrider Mystery Chest Bundle!,,,,
,98,30% off the price of a Nightrider Mystery Chest!,,,,
,99,12 for the price of 10! Nightrider Mystery Chest Bundle!,,,,
,100,12 for the price of 10! Frostbreath Mystery Chest Bundle!,,,,
,102,12 Elixirs for the price of 10! Limited time only!,,,,
,103,20% off the Frostbreath Mystery Chest Bundle!,,,,
,104,Day 1 of 5. A free elixir to celebrate Celtic Heroes Fifth Anniversary!,,,,
,105,Day 2 of 5. A free elixir to celebrate Celtic Heroes Fifth Anniversary!,,,,
,106,Day 3 of 5. A free elixir to celebrate Celtic Heroes Fifth Anniversary!,,,,
,107,Day 4 of 5. A free elixir to celebrate Celtic Heroes Fifth Anniversary!,,,,
,108,Day 5 of 5. A free elixir to celebrate Celtic Heroes Fifth Anniversary!,,,,
,110,A free present to celebrate Yule!,,,,
,111,A free gift to celebrate Yule!,,,,
,130,A free Heroic Elixir to celebrate Black Friday!,,,,
,131,Day 1 of 12. A free gift to celebrate Yule!,,,,
,132,Day 2 of 12. A free present to celebrate Yule!,,,,
,133,Day 3 of 12. A free present to celebrate Yule!,,,,
,134,Day 4 of 12. A free present to celebrate Yule!,,,,
,135,Day 5 of 12. A free present to celebrate Yule!,,,,
,136,Day 6 of 12. A free present to celebrate Yule!,,,,
,137,Day 7 of 12. A free present to celebrate Yule!,,,,
,138,Day 8 of 12. A free present to celebrate Yule!,,,,
,139,Day 9 of 12. A free present to celebrate Yule!,,,,
,140,Day 10 of 12. A free present to celebrate Yule!,,,,
,141,Day 11 of 12. A free present to celebrate Yule!,,,,
,142,Day 12 of 12. A free present to celebrate Yule!,,,,
,112,Day 8 of 12. A free gift to celebrate Yule!,,,,
,113,Day 3 of 12. A free present to celebrate Yule!,,,,
,114,Day 4 of 12. A free present to celebrate Yule!,,,,
,115,Day 5 of 12. A free present to celebrate Yule!,,,,
,116,Day 6 of 12. A free present to celebrate Yule!,,,,
,117,Day 7 of 12. A free present to celebrate Yule!,,,,
,118,Day 9 of 12. A free present to celebrate Yule!,,,,
,119,Day 10 of 12. A free present to celebrate Yule!,,,,
,120,Day 11 of 12. A free present to celebrate Yule!,,,,
,121,Day 12 of 12. A free present to celebrate Yule!,,,,
,122,33% Off Sigil of Health Sets.,,,,
,123,33% Off Sigil of Energy Sets.,,,,
,124,A free Health Sigil for valentines day.,,,,
,125,A free Energy Sigil for valentines day.,,,,
,127,2 additional free Super Combo Elixirs.,,,,
,128,3 free Super Combo Elixirs.,,,,
,129,3 free Super Combo Elixirs.,,,,
,143,Get 2 free Snowstorm Chests when you purchase a bundle of 10 to celebrate Yuletide!,,,,
,144,Thank you for your patience during the unscheduled downtime on Sunday 11th March, as a token of our appreciation please accept 3 Heroic Combos for one character per account.,,,,
