TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment
special_offer_templates - offer_name,1,TEST OFFER HEALTH POTION,,,,
,2,TEST OFFER ENERGY POTION,,,,
,3,Everlasting Green Firework,,,,
,4,Super Knowledge Potion,,,,
,5,Travelling Potion,,,,
,6,Restoration Potion,,,,
,7,Everlasting Green Firework,,,,
,8,Carolyn's Test Offer,,,,
,9,Super Regeneration Potion,,,,
,10,Super Maximum Health Potion,,,,
,11,SALE! Sigil of Health Set,,,,
,12,SALE! Sigil of Energy Set,,,,
,13,SALE! Backpack Expansion Set,,,,
,14,SALE! Bank Expansion Set,,,,
,15,SALE! Resurrection Idol Set,,,,
,16,Super Energiser Potion,,,,
,17,FLASH SALE! Super Combination Elixir Set,,,,
,18,SALE! Book of Alteration,,,,
,19,SALE! Book of Rebirth,,,,
,20,Super Elixir of Wisdom,,,,
,21,Super Elixir of Knowledge Set,,,,
,22,Super Elixir of Haste,,,,
,23,Super Elixir of Energisation,,,,
,24,SALE! Super Elixir of Maximum Health Set,,,,
,25,SALE! Super Elixir of Regeneration Set,,,,
,26,Everlasting Magic Fireworks,,,,
,27,Yuletide Present,,,,
,28,Yuletide Gift,,,,
,29,FLASH SALE! Super Combination Elixir Set,,,,
,30,FLASH SALE! Book of Alteration,,,,
,31,FLASH SALE! Book of Rebirth,,,,
,32,Yulebringer's Hat,,,,
,33,Snowbringer's Hat,,,,
,34,Icebringer's Hat,,,,
,35,Yulemaster's Hat,,,,
,36,Snowmaster's Hat,,,,
,37,Icemaster's Hat,,,,
,38,DUMMY OFFER HEALTH POTION,,,,
,39,DUMMY OFFER HEALTH POTION,,,,
,40,DUMMY OFFER HEALTH POTION,,,,
,41,DUMMY OFFER HEALTH POTION,,,,
,42,DUMMY OFFER HEALTH POTION,,,,
,43,DUMMY OFFER HEALTH POTION,,,,
,44,DUMMY OFFER HEALTH POTION,,,,
,45,DUMMY OFFER HEALTH POTION,,,,
,46,DUMMY OFFER HEALTH POTION,,,,
,47,DUMMY OFFER HEALTH POTION,,,,
,48,DUMMY OFFER HEALTH POTION,,,,
,49,DUMMY OFFER HEALTH POTION TEST,,,,
,50,Valentines Gift,,,,
,51,SALE! Frostbound Chest Bundle,,,,
,52,Super Knowledge Elixir Set,,,,
,53,OFFER! Health Sigil Set,,,,
,54,OFFER! Energy Sigil Set,,,,
,55,OFFER! Super Wisdom Elixir Set,,,,
,56,FREE GIFT!,,,,
,57,FREE PRESENT!,,,,
,58,FREE PRESENT!,,,,
,59,FREE PRESENT!,,,,
,60,FREE PRESENT!,,,,
,61,FREE PRESENT!,,,,
,62,FREE PRESENT!,,,,
,63,FREE GIFT!,,,,
,64,Heroes Standard Starter Kit,,,,
,65,Heroes Deluxe Starter Kit,,,,
,66,Free Book of Rebirth,,,,
,67,Free Book of Rebirth,,,,
,68,SALE! Springleaf Chest,,,,
,69,SALE! Springleaf Chest Bundle,,,,
,70,SALE! Springleaf Chest,,,,
,71,SALE! Springleaf Chest Bundle,,,,
,72,SALE! Springleaf Chest,,,,
,73,SALE! Springleaf Chest Bundle,,,,
,74,SALE! Springleaf Chest,,,,
,75,SALE! Springleaf Chest Bundle,,,,
,76,Free Health Sigils,,,,
,77,Free Health Sigils,,,,
,78,Free Energy Sigils,,,,
,79,Free Super Knowledge Potions,,,,
,80,Free Super Combination Elixirs!,,,,
,81,Epic 50 Health Sigil Collection,,,,
,82,Epic 50 Energy Sigil Collection,,,,
,83,Free Beltane Present,,,,
,84,Free Beltane Present,,,,
,85,Free Beltane Gift,,,,
,86,Free Beltane Gift,,,,
,87,Free Beltane Present,,,,
,88,Testy Offer! Great value!!!,,,,
,89,Special Offer! Lustrous Mystery Chest,,,,
