TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment,Comment_1,Comment_2
abilities,0,Sword,,,,,,
,1,Blunt,,,,,,
,2,Axe,,,,,,
,3,Staff,,,,,,
,4,Dagger,,,,,,
,5,Wand,,,,,,
,6,Bow,,,,,,
,7,Melee Combat,,,,,,
,8,Ranged Combat,,,,,,
,9,Physical Fitness,,,,,,
,10,Nature Magic,,,,,,
,11,Cunning,,,,,,
,12,Ice Magic,,,,,,
,13,Fire Magic,,,,,,
,14,First Aid,,,,,,
,15,Spear,,,,,,
,16,Totem,,,,,,
,17,Novelty,,,,,,
,18,Hand to Hand,,,,,,
,19,Fortitude,,,,,,
,20,Warding,,,,,,
,21,Reflex,,,,,,
,22,Vigour,,,,,,
,23,Willpower,,,,,,
,24,Dog Taming,,,,,,
,25,Rabbit Taming,,,,,,
,26,Fishing,,,,,,
,27,Bear Taming,,,,,,
,28,Spirit Taming,,,,,,
,29,Critical Strike,,,,,,
,30,Critical Skills,,,,,,
,31,Treasure Hunter,,,,,,
,32,Scholar,,,,,,
,33,Wolf Taming,,,,,,
,34,Spider Taming,,,,,,
,35,Boar Taming,,,,,,
,36,Wolf Riding,,,,,,
,37,Bear Riding,,,,,,
,,,,,,,,
,,,,,,,,
achievements,0,Clansman,,,,,,
,1,Chieftan,,,,,,
,2,Socialiser,,,,,,
,3,Trader,,,,,,
,4,Explorer,,,,,,
,5,Quester,,,,,,
,6,Adventurer,,,,,,
,7,Healer,,,,,,
,8,Slayer,,,,,,
,9,Wolf-Bane,,,,,,
,10,Goblin-Bane,,,,,,
,11,Skeleton-Bane,,,,,,
,12,Puppy Slayer,,,,,,
,13,Golden,,,,,,
,14,Lord of Dustwither,,,,,,
,15,Lord of Crookback,,,,,,
,16,High Roller,,,,,,
,17,Collector,,,,,,
,18,Birdman,,,,,,
,19,Back from the Dead,,,,,,
,20,Master of Lir's Reach,,,,,,
,21,Master of Crookback,,,,,,
,22,Master of Dustwither,,,,,,
,23,Master of Shalemont,,,,,,
,24,Master of Stonevale,,,,,,
,25,Stonevale Explorer,,,,,,
,26,Shalemont Explorer,,,,,,
,27,Lord of Shalemont,,,,,,
,28,Lord of Stonevale,,,,,,
,29,Mushroom Picker,,,,,,
,30,Master of the Otherworld,,,,,,
,31,Master of Fingal's Cave,,,,,,
,32,Master of Carrowmore,,,,,,
,33,Master of the Sewers,,,,,,
,34,Dragon Slayer,,,,,,
,35,PvP: Recruit,,,,,,
,36,PvP: Sergeant,,,,,,
,37,PvP: Lieutenant,,,,,,
,38,PvP: Marshal,,,,,,
,39,PvP: Warden,,,,,,
,40,PvP: Lord Commander,,,,,,
,41,PvP: Competent,,,,,,
,42,PvP: Skillful,,,,,,
,43,PvP: Powerful,,,,,,
,44,PvP: Formidable,,,,,,
,45,PvP: Mighty,,,,,,
,46,PvP: Deadly,,,,,,
,47,PvP: Devastating,,,,,,
,48,PvP: Invincible,,,,,,
,,,,,,,,
,,,,,,,,
ai_scripts,0,THE MONSTER SEEMS TO TIRE...,,,,,,
,1,THE MONSTER REGAINS IT'S STRENGTH,,,,,,
,2,THE MONSTER TAKES A DEFENSIVE STANCE,,,,,,
,3,oooooOOOOOooooo,,,,,,
,4,I AM LARGE AND ANGRY,,,,,,
,5,Test 1,,,,,,
,6,Test2,,,,,,
,7,Test 3,,,,,,
,8,Test 4,,,,,,
,9,<MN> is surprisingly unpathetic!,,,,,,
,10,,,,,,,
,11,,,,,,,
,96,<MN> has become enraged!,,,,,,
,97,<MN> has become enraged!,,,,,,
,98,<MN> has become enraged!,,,,,,
,99,<MN> has become enraged!,,,,,,
,100,the Pathetic wolf becomes more pathetic,,,,,,
,101,Pathetic wolf casting after ai change,,,,,,
,102,Pathetic wolf 2nd attack on 2nd highest aggro,,,,,,
,103,pathetic wolf casting on training dummy,,,,,,
,104,pathetic wolf casts on 3rd closest to target,,,,,,
,105,pathetic wolf 2nd closest to self,,,,,,
,106,aaa,,,,,,
,200,,,,,,,
,201,,,,,,,
,202,,,,,,,
,203,<MN> calls for help!,,,,,,
,204,<MN> calls for help!,,,,,,
,205,<MN> calls for help!,,,,,,
,1001,The All Seeing One:  'I see the future,  and I see your death!',,,,,,
,1002,The Swamplord lowers its horns and prepares to charge.,,,,,,
,1003,Woodcrown the Ancient: 'Vile trespassers, you will pay for this intrusion with your lives.',,,,,,
,1004,The Chained King: 'All is dust and shadow... Your doom is already sealed.',,,,,,
,1005,Grommak the Stonelord: 'I am the earth itself, you cannot hope to defeat me.',,,,,,
,1006,Pyrus the Lavalord: 'Foolish mortals... You will all perish in fire and flame.',,,,,,
,1007,,,,,,,
,1008,The flames heal Pyrus' wounds...,,,,,,
,1009,The smoke stings the great eye - it can no longer see properly...,,,,,,
,1010,The Swamplord closes its eyes, ignoring those who taunt it...,,,,,,
,1011,The All-Seeing One's sight is restored...,,,,,,
,1012,,,,,,,
,1013,The ground begins to shake...,,,,,,
,1014,Pyrus begins to heat up...,,,,,,
,1015,Woodcrown's healing sap is seared away by the flames...,,,,,,
,1016,Woodcrown's wounds begin to heal...,,,,,,
,1017,A massive wound appears in the All-Seeing One's eye...,,,,,,
,1018,A massive wound appears in the Swamplord's flank...,,,,,,
,1019,A massive wound appears in Woodcrown's bark...,,,,,,
,1020,A massive wound appears in the Chained King's etheral form...,,,,,,
,1021,A massive wound appears in Grommak's stony hide...,,,,,,
,1022,A massive wound appears in Pyrus' fiery hide...,,,,,,
,1023,The monster calls for help!,,,,,,
,1024,The <MN> spots you and raises the alarm.,,,,,,
,1025,Aggragoth summons his minions.,,,,,,
,1026,Pyrus calls for help!,,,,,,
,1027,Grommak calls for help!,,,,,,
,1028,The Chained King calls for help!,,,,,,
,1029,Woodcrown calls for help!,,,,,,
,1030,The Swamplord calls for help!,,,,,,
,1031,The All-Seeing One calls for help!,,,,,,
,1032,<MN> raises the alarm!,,,,,,
,1033,Cassel raises the alarm!,,,,,,
,1034,Leneth raises the alarm!,,,,,,
,1035,Veleron raises the alarm!,,,,,,
,1036,Ebroch raises the alarm!,,,,,,
,1037,Woodcrown begins to sprout lethal thorns!,,,,,,
,1038,The Chained King looks around for a new vicitm...,,,,,,
,1039,Grommak looks for a new target!,,,,,,
,1040,<MN> seems to gather strength.,,,,,,
,1041,A deep wound appears in <MN>'s thick hide.,,,,,,
,1042,Flames leap up around Pyrus.,,,,,,
,1043,Flames leap up around Pyrus.,,,,,,
,1044,A deep wound is inflicted on <MN>.,,,,,,
,1045,<MN> calls for help!,,,,,,
,1046,<MN> calls for help!,,,,,,
,1047,It's my birthday, I say! Mine!,,,,,,
,1048,No! I won't let you spoil my birthday party!,,,,,,
,1049,Arrgghh.. I'll get you next year..,,,,,,
,1050,test,,,,,,
,1051,,,,,,,
,1052,,,,,,,
,1053,,,,,,,
,1054,,,,,,,
,1055,,,,,,,
,1056,,,,,,,
,1057,,,,,,,
,1058,<MN> reaches out with an icy grip.,,,,,,
,1059,<MN> lashes out with ghostly flames at those nearby.,,,,,,
,1060,,,,,,,
,1061,,,,,,,
,1062,,,,,,,
,1063,,,,,,,
,1064,,,,,,,
,1065,,,,,,,
,1066,,,,,,,
,1067,,,,,,,
,1068,<MN> summons forth the Eight Flames of Doom!,,,,,,
,1069,,,,,,,
,1070,<MN> begins to gather dark energy around itself!,,,,,,
,1071,<MN> calls to its minions!,,,,,,
,1072,,,,,,,
,1073,,,,,,,
,1074,,,,,,,
,1075,,,,,,,
,1076,,,,,,,
,1077,,,,,,,
,1078,,,,,,,
,1079,,,,,,,
,1080,,,,,,,
,1081,,,,,,,
,1082,,,,,,,
,1083,,,,,,,
,1084,<MN> goes Berserk!,,,,,,
,1085,,,,,,,
,1086,<MN> calls up a freezing gale!,,,,,,
,1087,,,,,,,
,1088,,,,,,,
,1089,,,,,,,
,1090,,,,,,,
,1091,,,,,,,
,1092,,,,,,,
,1093,<MN> calls his guards!,,,,,,
,1094,,,,,,,
,1095,Prospecting Hammer used.,,,,,,
,1096,,,,,,,
,1097,,,,,,,
,1098,,,,,,,
,1099,,,,,,,
,1100,,,,,,,
,1101,,,,,,,
,1102,,,,,,,
,1103,,,,,,,
,1104,The All Knowing One: 'I see the future,  and I see your death!',,,,,,
,1105,The Swamp King lowers its horns and prepares to charge.,,,,,,
,1106,Gnarlroot the Ancient: 'Vile trespassers, you will pay for this intrusion with your lives.',,,,,,
,1107,The Chained Emperor: 'All is dust and shadow... Your doom is already sealed.',,,,,,
,1108,Ragnok the Stonelord: 'I am the earth itself, you cannot hope to defeat me.',,,,,,
,1109,Ignus the Lavalord: 'Foolish mortals... You will all perish in fire and flame.',,,,,,
