TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment
status_effect_templates,1,Protective Stance,,,,
,2,Recuperate,,,,
,3,Strangling Vines,,,,
,4,Howling Wind,,,,
,5,Grasping Roots,,,,
,6,Cloak of Fire,,,,
,7,Steady Aim,,,,
,8,Speed Down,,,,
,9,Hide,,,,
,10,Rend,,,,
,11,Temp Health Regen Boost,,,,
,12,Temp Energy Regen Boost,,,,
,13,Abundance,,,,
,14,Shield of Bark,,,,
,15,Natures Embrace,,,,
,16,Lure of Fire,,,,
,17,Lure of Ice,,,,
,18,Cosmic Shield,,,,
,19,Energy Well,,,,
,20,Frenzy,,,,
,21,Fast Reflexes,,,,
,22,Poison Weapon,,,,
,23,Camouflage,,,,
,24,Rapid Shot,,,,
,25,Barbed Shot,,,,
,26,Reduce Attack,,,,
,27,Meditation,,,,
,28,Energy Boost,,,,
,29,Invisibility Potion,,,,
,30,Invisibility Elixir,,,,
,31,Shrink Potion,,,,
,32,Shrink Elixir,,,,
,33,Growth Potion,,,,
,34,Growth Elixir,,,,
,35,Defence Boost Potion,,,,
,36,Defence Boost Elixir,,,,
,37,Armour Boost Potion,,,,
,38,Armour Boost Elixir,,,,
,39,Max Health Boost Potion,,,,
,40,Max Health Boost Elixir,,,,
,41,Max Energy Boost Potion,,,,
,42,Max Energy Boost Elixir,,,,
,43,Attack Boost Potion,,,,
,44,Attack Boost Elixir,,,,
,45,Attack Speed Boost Potion,,,,
,46,Attack Speed Boost Elixir,,,,
,47,Run Speed Boost Potion,,,,
,48,Run Speed Boost Elixir,,,,
,49,Experience Boost Potion,,,,
,50,Experience Boost Elixir,,,,
,51,Health Regen Boost Potion,,,,
,52,Health Regen Boost Elixir,,,,
,53,Energy Regen Boost Potion,,,,
,54,Energy Regen Boost Elixir,,,,
,55,Combination Potion,,,,
,56,Combination Elixir,,,,
,57,Root Scroll,,,,
,58,Poisonous Fungus,,,,
,59,Yellow Giant Mushroom,,,,
,60,Movement Speed Boost,,,,
,61,Attack Speed Boost,,,,
,62,Health Regen Boost Amulet,,,,
,63,Energy Regen Boost Amulet,,,,
,64,Ability boost Elixir,,,,
,65,Ability Boost,,,,
,66,XP Boost,,,,
,67,Fire Shield,,,,
,68,Movement Speed Boost,,,,
,69,Health Regen Boost Offhand,,,,
,70,Energy Regen Boost Offhand,,,,
,71,Growth Boost,,,,
,72,Shrink Boost,,,,
,73,Camouflage,,,,
,74,Sled Movement Boost,,,,
,75,Camouflage,,,,
,76,Bolas,,,,
,77,Energy Shield,,,,
,78,Slow Attack Speed,,,,
,79,Defensive Spikes,,,,
,80,Healing Salve,,,,
,81,Entangle,,,,
,82,Incinerate,,,,
